WAVY_ID:Dado:Timestamp
WAVY04:37.020066,-7.930181:2025-01-01-00-00-00
WAVY04:37.019869,-7.930139:2025-01-01-00-00-05
WAVY04:37.019867,-7.929530:2025-01-01-00-00-10
WAVY04:37.019802,-7.930475:2025-01-01-00-00-15
WAVY04:37.020440,-7.930274:2025-01-01-00-00-20
WAVY01:38.530333,-8.889760:2025-01-01-00-00-00
WAVY01:38.530077,-8.890139:2025-01-01-00-00-05
WAVY01:38.529867,-8.890460:2025-01-01-00-00-10
WAVY01:38.529836,-8.889639:2025-01-01-00-00-15
WAVY01:38.530440,-8.890274:2025-01-01-00-00-20
WAVY04:37.019953,-7.929632:2025-01-01-00-00-25
WAVY04:37.020116,-7.929807:2025-01-01-00-00-30
WAVY04:37.019728,-7.930134:2025-01-01-00-00-35
WAVY04:37.020415,-7.929820:2025-01-01-00-00-40
WAVY04:37.019983,-7.930405:2025-01-01-00-00-45
WAVY01:38.530119,-8.889925:2025-01-01-00-00-25
WAVY01:38.530063,-8.890321:2025-01-01-00-00-30
WAVY01:38.529866,-8.889962:2025-01-01-00-00-35
WAVY01:38.529581,-8.889690:2025-01-01-00-00-40
WAVY01:38.529764,-8.890051:2025-01-01-00-00-45
WAVY01:38.529770,-8.889942:2025-01-01-00-00-50
WAVY01:38.529662,-8.890354:2025-01-01-00-00-55
WAVY01:38.530299,-8.889663:2025-01-01-00-01-00
WAVY01:38.530293,-8.889735:2025-01-01-00-01-05
WAVY01:38.530140,-8.890150:2025-01-01-00-01-10
WAVY04:37.019985,-7.929928:2025-01-01-00-00-50
WAVY04:37.019662,-7.930354:2025-01-01-00-00-55
WAVY04:37.019906,-7.929610:2025-01-01-00-01-00
WAVY04:37.019870,-7.930157:2025-01-01-00-01-05
WAVY04:37.020404,-7.930477:2025-01-01-00-01-10
WAVY01:38.530221,-8.890338:2025-01-01-00-01-15
WAVY01:38.529515,-8.889716:2025-01-01-00-01-20
WAVY01:38.530029,-8.889648:2025-01-01-00-01-25
WAVY01:38.529597,-8.890404:2025-01-01-00-01-30
WAVY01:38.530197,-8.889637:2025-01-01-00-01-35
WAVY04:37.020045,-7.929883:2025-01-01-00-01-15
WAVY04:37.019895,-7.929836:2025-01-01-00-01-20
WAVY04:37.019581,-7.930217:2025-01-01-00-01-25
WAVY04:37.019739,-7.929545:2025-01-01-00-01-30
WAVY04:37.020184,-7.929602:2025-01-01-00-01-35
WAVY04:37.019503,-7.929663:2025-01-01-00-01-40
WAVY04:37.019714,-7.929868:2025-01-01-00-01-45
WAVY04:37.020148,-7.929943:2025-01-01-00-01-50
WAVY04:37.019936,-7.929591:2025-01-01-00-01-55
WAVY04:37.019790,-7.930124:2025-01-01-00-02-00
WAVY01:38.530416,-8.890104:2025-01-01-00-01-40
WAVY01:38.530132,-8.890378:2025-01-01-00-01-45
WAVY01:38.530347,-8.890252:2025-01-01-00-01-50
WAVY01:38.530342,-8.889575:2025-01-01-00-01-55
WAVY01:38.529667,-8.890198:2025-01-01-00-02-00
WAVY01:38.530167,-8.889583:2025-01-01-00-02-05
WAVY01:38.529752,-8.890271:2025-01-01-00-02-10
WAVY01:38.530257,-8.890379:2025-01-01-00-02-15
WAVY01:38.529909,-8.890192:2025-01-01-00-02-20
WAVY01:38.530369,-8.890169:2025-01-01-00-02-25
WAVY04:37.020250,-7.930242:2025-01-01-00-02-05
WAVY04:37.019883,-7.929781:2025-01-01-00-02-10
WAVY04:37.019569,-7.930022:2025-01-01-00-02-15
WAVY04:37.020120,-7.930204:2025-01-01-00-02-20
WAVY04:37.019592,-7.929683:2025-01-01-00-02-25
WAVY01:38.529606,-8.889898:2025-01-01-00-02-30
WAVY01:38.529802,-8.889669:2025-01-01-00-02-35
WAVY01:38.530432,-8.890289:2025-01-01-00-02-40
WAVY01:38.530043,-8.889732:2025-01-01-00-02-45
WAVY01:38.529852,-8.890241:2025-01-01-00-02-50
WAVY04:37.019989,-7.929565:2025-01-01-00-02-30
WAVY04:37.019880,-7.929662:2025-01-01-00-02-35
WAVY04:37.020051,-7.929507:2025-01-01-00-02-40
WAVY04:37.019947,-7.930325:2025-01-01-00-02-45
WAVY04:37.020074,-7.930384:2025-01-01-00-02-50
WAVY01:38.529549,-8.889718:2025-01-01-00-02-55
WAVY01:38.530212,-8.889684:2025-01-01-00-03-00
WAVY01:38.530339,-8.889839:2025-01-01-00-03-05
WAVY01:38.529752,-8.890468:2025-01-01-00-03-10
WAVY01:38.529658,-8.890291:2025-01-01-00-03-15
WAVY04:37.020372,-7.929699:2025-01-01-00-02-55
WAVY04:37.020212,-7.929684:2025-01-01-00-03-00
WAVY04:37.019754,-7.930146:2025-01-01-00-03-05
WAVY04:37.020276,-7.930481:2025-01-01-00-03-10
WAVY04:37.019623,-7.929543:2025-01-01-00-03-15
WAVY01:38.530376,-8.890304:2025-01-01-00-03-20
WAVY01:38.530414,-8.889785:2025-01-01-00-03-25
WAVY01:38.530440,-8.890166:2025-01-01-00-03-30
WAVY01:38.530132,-8.889741:2025-01-01-00-03-35
WAVY01:38.529833,-8.890212:2025-01-01-00-03-40
WAVY04:37.019854,-7.930384:2025-01-01-00-03-20
WAVY04:37.019848,-7.930173:2025-01-01-00-03-25
WAVY04:37.020096,-7.930107:2025-01-01-00-03-30
WAVY04:37.019510,-7.930358:2025-01-01-00-03-35
WAVY04:37.020084,-7.929749:2025-01-01-00-03-40
WAVY04:37.019598,-7.929846:2025-01-01-00-03-45
WAVY04:37.020268,-7.930180:2025-01-01-00-03-50
WAVY04:37.020276,-7.930286:2025-01-01-00-03-55
WAVY04:37.019533,-7.929603:2025-01-01-00-04-00
WAVY04:37.019708,-7.930083:2025-01-01-00-04-05
WAVY01:38.529686,-8.890435:2025-01-01-00-03-45
WAVY01:38.530439,-8.890095:2025-01-01-00-03-50
WAVY01:38.529821,-8.890444:2025-01-01-00-03-55
WAVY01:38.529628,-8.890409:2025-01-01-00-04-00
WAVY01:38.529652,-8.889579:2025-01-01-00-04-05
WAVY01:38.529822,-8.889816:2025-01-01-00-04-10
WAVY01:38.529944,-8.890210:2025-01-01-00-04-15
WAVY01:38.529620,-8.890076:2025-01-01-00-04-20
WAVY01:38.530335,-8.889877:2025-01-01-00-04-25
WAVY01:38.530246,-8.889681:2025-01-01-00-04-30
WAVY04:37.019653,-7.930351:2025-01-01-00-04-10
WAVY04:37.019529,-7.929786:2025-01-01-00-04-15
WAVY04:37.019587,-7.930201:2025-01-01-00-04-20
WAVY04:37.019775,-7.930369:2025-01-01-00-04-25
WAVY04:37.020091,-7.930462:2025-01-01-00-04-30
WAVY04:37.019933,-7.930086:2025-01-01-00-04-35
WAVY04:37.020013,-7.930350:2025-01-01-00-04-40
WAVY04:37.020434,-7.929768:2025-01-01-00-04-45
WAVY04:37.020000,-7.930344:2025-01-01-00-04-50
WAVY04:37.019831,-7.930259:2025-01-01-00-04-55
