WAVY_ID:Dado:Timestamp
WAVY01:41.700484,-8.829774:2025-01-01-00-00-25
WAVY01:41.699565,-8.830026:2025-01-01-00-00-30
WAVY01:41.699925,-8.830158:2025-01-01-00-00-35
WAVY01:41.700482,-8.829856:2025-01-01-00-00-40
WAVY01:41.699919,-8.829628:2025-01-01-00-00-45
WAVY02:40.640484,-8.649774:2025-01-01-00-00-25
WAVY02:40.639565,-8.650026:2025-01-01-00-00-30
WAVY02:40.639925,-8.650158:2025-01-01-00-00-35
WAVY02:40.640433,-8.649597:2025-01-01-00-00-40
WAVY02:40.640438,-8.649661:2025-01-01-00-00-45
WAVY01:41.699765,-8.829523:2025-01-01-00-00-50
WAVY01:41.699988,-8.829919:2025-01-01-00-00-55
WAVY01:41.699721,-8.829696:2025-01-01-00-01-00
WAVY01:41.700382,-8.829812:2025-01-01-00-01-05
WAVY01:41.700298,-8.830131:2025-01-01-00-01-10
WAVY02:40.639765,-8.649523:2025-01-01-00-00-50
WAVY02:40.639988,-8.649919:2025-01-01-00-00-55
WAVY02:40.640150,-8.650392:2025-01-01-00-01-00
WAVY02:40.639964,-8.650285:2025-01-01-00-01-05
WAVY02:40.640138,-8.649819:2025-01-01-00-01-10
WAVY02:40.640075,-8.650005:2025-01-01-00-01-15
WAVY02:40.639873,-8.649572:2025-01-01-00-01-20
WAVY02:40.639924,-8.649604:2025-01-01-00-01-25
WAVY02:40.639507,-8.649535:2025-01-01-00-01-30
WAVY02:40.639991,-8.650335:2025-01-01-00-01-35
WAVY01:41.700072,-8.830188:2025-01-01-00-01-15
WAVY01:41.699645,-8.829761:2025-01-01-00-01-20
WAVY01:41.699527,-8.829969:2025-01-01-00-01-25
WAVY01:41.700311,-8.830414:2025-01-01-00-01-30
WAVY01:41.699746,-8.830097:2025-01-01-00-01-35
WAVY02:40.640151,-8.649804:2025-01-01-00-01-40
WAVY02:40.640045,-8.650194:2025-01-01-00-01-45
WAVY02:40.640087,-8.649961:2025-01-01-00-01-50
WAVY02:40.640262,-8.649641:2025-01-01-00-01-55
WAVY02:40.640494,-8.650349:2025-01-01-00-02-00
WAVY02:40.640427,-8.650325:2025-01-01-00-02-05
WAVY02:40.639911,-8.650493:2025-01-01-00-02-10
WAVY02:40.639542,-8.650238:2025-01-01-00-02-15
WAVY02:40.639814,-8.649606:2025-01-01-00-02-20
WAVY02:40.640456,-8.649955:2025-01-01-00-02-25
WAVY01:41.700123,-8.829963:2025-01-01-00-01-40
WAVY01:41.700035,-8.829632:2025-01-01-00-01-45
WAVY01:41.699534,-8.829617:2025-01-01-00-01-50
WAVY01:41.699923,-8.830478:2025-01-01-00-01-55
WAVY01:41.699843,-8.830283:2025-01-01-00-02-00
WAVY02:40.640004,-8.649991:2025-01-01-00-02-30
WAVY02:40.639893,-8.649689:2025-01-01-00-02-35
WAVY02:40.640136,-8.650037:2025-01-01-00-02-40
WAVY02:40.639948,-8.649931:2025-01-01-00-02-45
WAVY02:40.640364,-8.649617:2025-01-01-00-02-50
WAVY01:41.699536,-8.829859:2025-01-01-00-02-05
WAVY01:41.699654,-8.829670:2025-01-01-00-02-10
WAVY01:41.699936,-8.829958:2025-01-01-00-02-15
WAVY01:41.699939,-8.829528:2025-01-01-00-02-20
WAVY01:41.699790,-8.829872:2025-01-01-00-02-25
WAVY02:40.640285,-8.650360:2025-01-01-00-02-55
WAVY02:40.640055,-8.649693:2025-01-01-00-03-00
